source,target,value
Finanzamt Reinickendorf,Berliner Bäderbetriebe,0
Justizvollzugsanstalt für Frauen Berlin,Amtsanwaltschaft Berlin,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Technische Universität Berlin,0
Steuerberaterkammer Berlin,Investitionsbank Berlin,0
Finanzamt Marzahn-Hellersdorf,Senatsverwaltung für Finanzen,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Steuerberaterkammer Berlin,0
Senatsverwaltung für Kultur und Europa,Finanzamt für Körperschaften II,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Stiftung Bröhan-Museum,0
Pestalozzi-Fröbel-Haus,Berliner Wasserbetriebe (BWB),0
Amtsgericht Lichtenberg,Verkehrslenkung Berlin,0
Deutsche Klassenlotterie Berlin,Senatsverwaltung für Kultur und Europa,0
Landesarbeitsgericht Berlin-Brandenburg,Verkehrslenkung Berlin,0
Berliner Wasserbetriebe (BWB),Verwaltungsgericht Berlin,0
Wohnraumversorgung Berlin,Verfassungsgerichtshof des Landes Berlin,0
Polizei Berlin,Maxim Gorki Theater,0
Bezirksamt Spandau,Finanzamt Charlottenburg,90
Berliner Bäderbetriebe,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Kassenzahnärztliche Vereinigung Berlin,Berliner Wasserbetriebe (BWB),0
Ärztekammer Berlin,Landesverwaltungsamt,0
Amtsgericht Spandau,"Landesamt für Bergbau, Geologie und Rohstoffe",0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Reinickendorf,Finanzamt für Körperschaften II,0
Landesverwaltungsamt,Senatsverwaltung für Finanzen,0
Investitionsbank Berlin,Bezirksamt Pankow,0
Finanzamt Friedrichshain-Kreuzberg,Handwerksinnungen,0
Verwaltungsgericht Berlin,Stiftung Bröhan-Museum,0
Senatsverwaltung für Finanzen,Finanzamt Friedrichshain-Kreuzberg,144
Maxim Gorki Theater,Unfallkasse Berlin,0
Stiftung Preußischer Kulturbesitz,Bezirksamt Mitte,0
Jugendstrafanstalt Berlin,Verfassungsgerichtshof des Landes Berlin,0
Finanzamt Lichtenberg,Handwerksinnungen,0
Bezirksamt Pankow,Pflanzenschutzamt Berlin,0
Abgeordnetenhaus von Berlin,Senatsverwaltung für Finanzen,0
Finanzamt für Körperschaften II,Stiftung Preußischer Kulturbesitz,0
Bezirksamt Mitte,Berliner Bäderbetriebe,0
Stiftung Bröhan-Museum,Landesfinanzservice (inkl. Landeshauptkasse),0
Landesfinanzservice (inkl. Landeshauptkasse),Finanzamt Reinickendorf,0
Amtsanwaltschaft Berlin,Pestalozzi-Fröbel-Haus,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Senatsverwaltung für Finanzen,0
Handwerksinnungen,Jugendstrafanstalt Berlin,0
Verfassungsgerichtshof des Landes Berlin,Wohnraumversorgung Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Pflanzenschutzamt Berlin,Technische Universität Berlin,0
Technische Universität Berlin,Steuerberaterkammer Berlin,0
Verkehrslenkung Berlin,Investitionsbank Berlin,0
Unfallkasse Berlin,Handwerksinnungen,0
Finanzamt Charlottenburg,Landesfinanzservice (inkl. Landeshauptkasse),0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Wiedergutmachungsämter von Berlin,Finanzamt Marzahn-Hellersdorf,0
Stiftung Stadtmuseum Berlin,Verkehrslenkung Berlin,0
Finanzamt Reinickendorf,Finanzamt Friedrichshain-Kreuzberg,0
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Charlottenburg,108
"Landesamt für Bergbau, Geologie und Rohstoffe",Landesarbeitsgericht Berlin-Brandenburg,0
Steuerberaterkammer Berlin,Steuerberaterkammer Berlin,0
Finanzamt Marzahn-Hellersdorf,Finanzamt Lichtenberg,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Landesverwaltungsamt,0
Senatsverwaltung für Kultur und Europa,Stiftung Stadtmuseum Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Pestalozzi-Fröbel-Haus,Deutsche Klassenlotterie Berlin,0
Amtsgericht Lichtenberg,Investitionsbank Berlin,0
Deutsche Klassenlotterie Berlin,Amtsanwaltschaft Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Finanzamt Marzahn-Hellersdorf,90
Berliner Wasserbetriebe (BWB),Verwaltungsgericht Berlin,0
Wohnraumversorgung Berlin,Bezirksamt Spandau,0
Polizei Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Bezirksamt Spandau,Ärztekammer Berlin,0
Berliner Bäderbetriebe,Wohnraumversorgung Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Finanzamt Reinickendorf,0
Ärztekammer Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Amtsgericht Spandau,Finanzamt Marzahn-Hellersdorf,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Finanzamt für Körperschaften II,0
Bezirksamt Reinickendorf,Technische Universität Berlin,0
Landesverwaltungsamt,Ärztekammer Berlin,0
Investitionsbank Berlin,Stiftung Preußischer Kulturbesitz,198
Finanzamt Friedrichshain-Kreuzberg,Stiftung Stadtmuseum Berlin,0
Verwaltungsgericht Berlin,Handwerksinnungen,0
Senatsverwaltung für Finanzen,Bezirksamt Reinickendorf,0
Maxim Gorki Theater,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Stiftung Preußischer Kulturbesitz,Berliner Bäderbetriebe,0
Jugendstrafanstalt Berlin,Berliner Bäderbetriebe,0
Finanzamt Lichtenberg,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Bezirksamt Pankow,Finanzamt Charlottenburg,0
Abgeordnetenhaus von Berlin,Technische Universität Berlin,0
Finanzamt für Körperschaften II,Bezirksamt Spandau,0
Bezirksamt Mitte,Handwerksinnungen,0
Stiftung Bröhan-Museum,Senatsverwaltung für Kultur und Europa,0
Landesfinanzservice (inkl. Landeshauptkasse),Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Amtsanwaltschaft Berlin,Deutsche Klassenlotterie Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Wiedergutmachungsämter von Berlin,126
Handwerksinnungen,Kassenzahnärztliche Vereinigung Berlin,0
Verfassungsgerichtshof des Landes Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Justizvollzugsanstalt für Frauen Berlin,0
Pflanzenschutzamt Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Technische Universität Berlin,Jugendstrafanstalt Berlin,126
Verkehrslenkung Berlin,Investitionsbank Berlin,0
Unfallkasse Berlin,Berliner Bäderbetriebe,0
Finanzamt Charlottenburg,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Jugendstrafanstalt Berlin,0
Wiedergutmachungsämter von Berlin,Verkehrslenkung Berlin,0
Stiftung Stadtmuseum Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Finanzamt Reinickendorf,Amtsanwaltschaft Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Pflanzenschutzamt Berlin,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Landesverwaltungsamt,0
Steuerberaterkammer Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Marzahn-Hellersdorf,Finanzamt Marzahn-Hellersdorf,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung","Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Senatsverwaltung für Kultur und Europa,Berliner Wasserbetriebe (BWB),0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Amtsanwaltschaft Berlin,0
Pestalozzi-Fröbel-Haus,Maxim Gorki Theater,0
Amtsgericht Lichtenberg,Justizvollzugsanstalt für Frauen Berlin,0
Deutsche Klassenlotterie Berlin,Amtsgericht Lichtenberg,0
Landesarbeitsgericht Berlin-Brandenburg,Wiedergutmachungsämter von Berlin,0
Berliner Wasserbetriebe (BWB),Deutsche Klassenlotterie Berlin,0
Wohnraumversorgung Berlin,Technische Universität Berlin,0
Polizei Berlin,Finanzamt Reinickendorf,0
Bezirksamt Spandau,Stiftung Preußischer Kulturbesitz,0
Berliner Bäderbetriebe,Finanzamt Reinickendorf,0
Kassenzahnärztliche Vereinigung Berlin,Berliner Wasserbetriebe (BWB),0
Ärztekammer Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Amtsgericht Spandau,Senatsverwaltung für Finanzen,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Bezirksamt Mitte,0
Bezirksamt Reinickendorf,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Landesverwaltungsamt,Bezirksamt Spandau,0
Investitionsbank Berlin,Verkehrslenkung Berlin,90
Finanzamt Friedrichshain-Kreuzberg,Landesfinanzservice (inkl. Landeshauptkasse),0
Verwaltungsgericht Berlin,Stiftung Bröhan-Museum,0
Senatsverwaltung für Finanzen,Stiftung Preußischer Kulturbesitz,0
Maxim Gorki Theater,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Stiftung Preußischer Kulturbesitz,Wohnraumversorgung Berlin,0
Jugendstrafanstalt Berlin,Berliner Wasserbetriebe (BWB),0
Finanzamt Lichtenberg,Berliner Bäderbetriebe,0
Bezirksamt Pankow,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Abgeordnetenhaus von Berlin,Berliner Bäderbetriebe,0
Finanzamt für Körperschaften II,Landesverwaltungsamt,0
Bezirksamt Mitte,Landesarbeitsgericht Berlin-Brandenburg,0
Stiftung Bröhan-Museum,Amtsgericht Lichtenberg,126
Landesfinanzservice (inkl. Landeshauptkasse),Jugendstrafanstalt Berlin,0
Amtsanwaltschaft Berlin,Berliner Wasserbetriebe (BWB),126
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Berliner Bäderbetriebe,0
Handwerksinnungen,Bezirksamt Pankow,0
Verfassungsgerichtshof des Landes Berlin,Finanzamt Charlottenburg,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Pflanzenschutzamt Berlin,Finanzamt Charlottenburg,108
Technische Universität Berlin,Stiftung Bröhan-Museum,0
Verkehrslenkung Berlin,Verkehrslenkung Berlin,0
Unfallkasse Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Finanzamt Charlottenburg,Investitionsbank Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Verwaltungsgericht Berlin,0
Wiedergutmachungsämter von Berlin,Stiftung Bröhan-Museum,0
Stiftung Stadtmuseum Berlin,Stiftung Bröhan-Museum,0
Finanzamt Reinickendorf,Technische Universität Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Bezirksamt Spandau,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Stiftung Bröhan-Museum,0
Steuerberaterkammer Berlin,Amtsgericht Spandau,0
Finanzamt Marzahn-Hellersdorf,Deutsche Klassenlotterie Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Kassenzahnärztliche Vereinigung Berlin,0
Senatsverwaltung für Kultur und Europa,Berliner Bäderbetriebe,90
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Lichtenberg,0
Pestalozzi-Fröbel-Haus,Kassenzahnärztliche Vereinigung Berlin,0
Amtsgericht Lichtenberg,Handwerksinnungen,0
Deutsche Klassenlotterie Berlin,Verfassungsgerichtshof des Landes Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Wiedergutmachungsämter von Berlin,0
Berliner Wasserbetriebe (BWB),Handwerksinnungen,0
Wohnraumversorgung Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Polizei Berlin,Verwaltungsgericht Berlin,0
Bezirksamt Spandau,Wiedergutmachungsämter von Berlin,0
Berliner Bäderbetriebe,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),90
Kassenzahnärztliche Vereinigung Berlin,Verkehrslenkung Berlin,0
Ärztekammer Berlin,Landesverwaltungsamt,0
Amtsgericht Spandau,Abgeordnetenhaus von Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Finanzamt für Körperschaften II,0
Bezirksamt Reinickendorf,Stiftung Stadtmuseum Berlin,0
Landesverwaltungsamt,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Investitionsbank Berlin,Berliner Bäderbetriebe,0
Finanzamt Friedrichshain-Kreuzberg,Polizei Berlin,0
Verwaltungsgericht Berlin,Pflanzenschutzamt Berlin,0
Senatsverwaltung für Finanzen,Landesfinanzservice (inkl. Landeshauptkasse),0
Maxim Gorki Theater,Jugendstrafanstalt Berlin,144
Stiftung Preußischer Kulturbesitz,Abgeordnetenhaus von Berlin,126
Jugendstrafanstalt Berlin,Verfassungsgerichtshof des Landes Berlin,0
Finanzamt Lichtenberg,Amtsanwaltschaft Berlin,0
Bezirksamt Pankow,Verkehrslenkung Berlin,0
Abgeordnetenhaus von Berlin,Finanzamt Charlottenburg,0
Finanzamt für Körperschaften II,Abgeordnetenhaus von Berlin,0
Bezirksamt Mitte,Finanzamt für Körperschaften II,0
Stiftung Bröhan-Museum,Verfassungsgerichtshof des Landes Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Landesfinanzservice (inkl. Landeshauptkasse),0
Amtsanwaltschaft Berlin,Amtsanwaltschaft Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Wiedergutmachungsämter von Berlin,0
Handwerksinnungen,Bezirksamt Reinickendorf,0
Verfassungsgerichtshof des Landes Berlin,Wohnraumversorgung Berlin,72
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Stiftung Preußischer Kulturbesitz,0
Pflanzenschutzamt Berlin,Finanzamt Lichtenberg,0
Technische Universität Berlin,Senatsverwaltung für Finanzen,0
Verkehrslenkung Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Unfallkasse Berlin,Wiedergutmachungsämter von Berlin,0
Finanzamt Charlottenburg,Verwaltungsgericht Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesarbeitsgericht Berlin-Brandenburg,0
Wiedergutmachungsämter von Berlin,Ärztekammer Berlin,0
Stiftung Stadtmuseum Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Reinickendorf,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Justizvollzugsanstalt für Frauen Berlin,Polizei Berlin,180
"Landesamt für Bergbau, Geologie und Rohstoffe",Verwaltungsgericht Berlin,198
Steuerberaterkammer Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Finanzamt Marzahn-Hellersdorf,Technische Universität Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Pflanzenschutzamt Berlin,0
Senatsverwaltung für Kultur und Europa,Finanzamt Charlottenburg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Pestalozzi-Fröbel-Haus,Finanzamt Charlottenburg,0
Amtsgericht Lichtenberg,Verwaltungsgericht Berlin,0
Deutsche Klassenlotterie Berlin,Jugendstrafanstalt Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Jugendstrafanstalt Berlin,0
Berliner Wasserbetriebe (BWB),Bezirksamt Reinickendorf,180
Wohnraumversorgung Berlin,Steuerberaterkammer Berlin,0
Polizei Berlin,Senatsverwaltung für Finanzen,0
Bezirksamt Spandau,Finanzamt Charlottenburg,0
Berliner Bäderbetriebe,Finanzamt für Körperschaften II,0
Kassenzahnärztliche Vereinigung Berlin,Senatsverwaltung für Finanzen,0
Ärztekammer Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",180
Amtsgericht Spandau,Verkehrslenkung Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe","Landesamt für Bergbau, Geologie und Rohstoffe",0
Bezirksamt Reinickendorf,Landesfinanzservice (inkl. Landeshauptkasse),0
Landesverwaltungsamt,Senatsverwaltung für Finanzen,0
Investitionsbank Berlin,Bezirksamt Mitte,0
Finanzamt Friedrichshain-Kreuzberg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Verwaltungsgericht Berlin,Polizei Berlin,0
Senatsverwaltung für Finanzen,Finanzamt Reinickendorf,54
Maxim Gorki Theater,Stiftung Stadtmuseum Berlin,0
Stiftung Preußischer Kulturbesitz,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Jugendstrafanstalt Berlin,Verkehrslenkung Berlin,0
Finanzamt Lichtenberg,Senatsverwaltung für Kultur und Europa,0
Bezirksamt Pankow,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Abgeordnetenhaus von Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Finanzamt für Körperschaften II,Steuerberaterkammer Berlin,0
Bezirksamt Mitte,Finanzamt Marzahn-Hellersdorf,0
Stiftung Bröhan-Museum,Amtsanwaltschaft Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Maxim Gorki Theater,0
Amtsanwaltschaft Berlin,Justizvollzugsanstalt für Frauen Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Handwerksinnungen,0
Handwerksinnungen,Deutsche Klassenlotterie Berlin,198
Verfassungsgerichtshof des Landes Berlin,Wohnraumversorgung Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Bezirksamt Reinickendorf,0
Pflanzenschutzamt Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Technische Universität Berlin,Verwaltungsgericht Berlin,0
Verkehrslenkung Berlin,Abgeordnetenhaus von Berlin,0
Unfallkasse Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Finanzamt Charlottenburg,Handwerksinnungen,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Senatsverwaltung für Finanzen,0
Wiedergutmachungsämter von Berlin,Verfassungsgerichtshof des Landes Berlin,0
Stiftung Stadtmuseum Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Finanzamt Reinickendorf,Amtsgericht Lichtenberg,0
Justizvollzugsanstalt für Frauen Berlin,Landesverwaltungsamt,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Landesfinanzservice (inkl. Landeshauptkasse),0
Steuerberaterkammer Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Marzahn-Hellersdorf,Pflanzenschutzamt Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Steuerberaterkammer Berlin,0
Senatsverwaltung für Kultur und Europa,Finanzamt Friedrichshain-Kreuzberg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Bezirksamt Pankow,0
Pestalozzi-Fröbel-Haus,Stiftung Bröhan-Museum,0
Amtsgericht Lichtenberg,Ärztekammer Berlin,0
Deutsche Klassenlotterie Berlin,Verwaltungsgericht Berlin,198
Landesarbeitsgericht Berlin-Brandenburg,Kassenzahnärztliche Vereinigung Berlin,0
Berliner Wasserbetriebe (BWB),Pflanzenschutzamt Berlin,0
Wohnraumversorgung Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",144
Polizei Berlin,Finanzamt Lichtenberg,0
Bezirksamt Spandau,Bezirksamt Spandau,0
Berliner Bäderbetriebe,Unfallkasse Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Amtsanwaltschaft Berlin,0
Ärztekammer Berlin,Jugendstrafanstalt Berlin,0
Amtsgericht Spandau,Wohnraumversorgung Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Verwaltungsgericht Berlin,0
Bezirksamt Reinickendorf,Bezirksamt Reinickendorf,0
Landesverwaltungsamt,Investitionsbank Berlin,0
Investitionsbank Berlin,Handwerksinnungen,0
Finanzamt Friedrichshain-Kreuzberg,Stiftung Bröhan-Museum,0
Verwaltungsgericht Berlin,Pestalozzi-Fröbel-Haus,0
Senatsverwaltung für Finanzen,Pestalozzi-Fröbel-Haus,0
Maxim Gorki Theater,Stiftung Stadtmuseum Berlin,0
Stiftung Preußischer Kulturbesitz,Stiftung Stadtmuseum Berlin,0
Jugendstrafanstalt Berlin,Jugendstrafanstalt Berlin,0
Finanzamt Lichtenberg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Bezirksamt Pankow,Finanzamt Friedrichshain-Kreuzberg,0
Abgeordnetenhaus von Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Finanzamt für Körperschaften II,Amtsgericht Lichtenberg,0
Bezirksamt Mitte,Verkehrslenkung Berlin,0
Stiftung Bröhan-Museum,Verfassungsgerichtshof des Landes Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Finanzamt Friedrichshain-Kreuzberg,0
Amtsanwaltschaft Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",108
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Finanzamt Lichtenberg,0
Handwerksinnungen,Stiftung Stadtmuseum Berlin,126
Verfassungsgerichtshof des Landes Berlin,Senatsverwaltung für Finanzen,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Finanzamt Charlottenburg,0
Pflanzenschutzamt Berlin,Landesarbeitsgericht Berlin-Brandenburg,90
Technische Universität Berlin,Amtsgericht Spandau,0
Verkehrslenkung Berlin,Polizei Berlin,0
Unfallkasse Berlin,Pflanzenschutzamt Berlin,0
Finanzamt Charlottenburg,Wiedergutmachungsämter von Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Unfallkasse Berlin,0
Wiedergutmachungsämter von Berlin,Pflanzenschutzamt Berlin,0
Stiftung Stadtmuseum Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Finanzamt Reinickendorf,Finanzamt Charlottenburg,0
Justizvollzugsanstalt für Frauen Berlin,Stiftung Bröhan-Museum,0
"Landesamt für Bergbau, Geologie und Rohstoffe","Landesamt für Bergbau, Geologie und Rohstoffe",0
Steuerberaterkammer Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Finanzamt Marzahn-Hellersdorf,Landesfinanzservice (inkl. Landeshauptkasse),0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Stiftung Bröhan-Museum,0
Senatsverwaltung für Kultur und Europa,Stiftung Stadtmuseum Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Abgeordnetenhaus von Berlin,0
Pestalozzi-Fröbel-Haus,Bezirksamt Reinickendorf,0
Amtsgericht Lichtenberg,Stiftung Stadtmuseum Berlin,0
Deutsche Klassenlotterie Berlin,Verwaltungsgericht Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Finanzamt für Körperschaften II,0
Berliner Wasserbetriebe (BWB),"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Wohnraumversorgung Berlin,Abgeordnetenhaus von Berlin,0
Polizei Berlin,Berliner Bäderbetriebe,0
Bezirksamt Spandau,Landesarbeitsgericht Berlin-Brandenburg,0
Berliner Bäderbetriebe,Amtsgericht Spandau,0
Kassenzahnärztliche Vereinigung Berlin,Stiftung Bröhan-Museum,0
Ärztekammer Berlin,Pestalozzi-Fröbel-Haus,0
Amtsgericht Spandau,Bezirksamt Mitte,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Investitionsbank Berlin,0
Bezirksamt Reinickendorf,Handwerksinnungen,0
Landesverwaltungsamt,Bezirksamt Spandau,0
Investitionsbank Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Finanzamt Friedrichshain-Kreuzberg,Stiftung Stadtmuseum Berlin,54
Verwaltungsgericht Berlin,Investitionsbank Berlin,0
Senatsverwaltung für Finanzen,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Maxim Gorki Theater,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Stiftung Preußischer Kulturbesitz,Unfallkasse Berlin,0
Jugendstrafanstalt Berlin,Finanzamt Lichtenberg,0
Finanzamt Lichtenberg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Bezirksamt Pankow,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Abgeordnetenhaus von Berlin,Bezirksamt Mitte,0
Finanzamt für Körperschaften II,Technische Universität Berlin,0
Bezirksamt Mitte,Polizei Berlin,162
Stiftung Bröhan-Museum,Unfallkasse Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Maxim Gorki Theater,0
Amtsanwaltschaft Berlin,Verkehrslenkung Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Justizvollzugsanstalt für Frauen Berlin,0
Handwerksinnungen,Maxim Gorki Theater,0
Verfassungsgerichtshof des Landes Berlin,Finanzamt Lichtenberg,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Pflanzenschutzamt Berlin,Finanzamt Marzahn-Hellersdorf,0
Technische Universität Berlin,Ärztekammer Berlin,0
Verkehrslenkung Berlin,Amtsgericht Spandau,0
Unfallkasse Berlin,Verwaltungsgericht Berlin,0
Finanzamt Charlottenburg,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Polizei Berlin,0
Wiedergutmachungsämter von Berlin,Finanzamt Lichtenberg,0
Stiftung Stadtmuseum Berlin,Amtsgericht Spandau,0
Finanzamt Reinickendorf,Senatsverwaltung für Kultur und Europa,0
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Marzahn-Hellersdorf,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Senatsverwaltung für Kultur und Europa,0
Steuerberaterkammer Berlin,Abgeordnetenhaus von Berlin,0
Finanzamt Marzahn-Hellersdorf,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Landesverwaltungsamt,0
Senatsverwaltung für Kultur und Europa,Wohnraumversorgung Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Charlottenburg,0
Pestalozzi-Fröbel-Haus,Pflanzenschutzamt Berlin,0
Amtsgericht Lichtenberg,Stiftung Stadtmuseum Berlin,0
Deutsche Klassenlotterie Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Landesarbeitsgericht Berlin-Brandenburg,Bezirksamt Spandau,0
Berliner Wasserbetriebe (BWB),Unfallkasse Berlin,0
Wohnraumversorgung Berlin,Senatsverwaltung für Finanzen,0
Polizei Berlin,Bezirksamt Spandau,0
Bezirksamt Spandau,Justizvollzugsanstalt für Frauen Berlin,0
Berliner Bäderbetriebe,Technische Universität Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Finanzamt für Körperschaften II,0
Ärztekammer Berlin,Stiftung Bröhan-Museum,0
Amtsgericht Spandau,Pestalozzi-Fröbel-Haus,0
